ACEN Colleges of Nursing,Program Type,State/Country,Status
Riverside City College,"4800 Magnolia Avenue Riverside, California 92506 ",Associate,California,Accredited
Riverside City College,"4800 Magnolia Avenue Riverside, California 92506 ",Practical,California,Accredited
Sacramento City College – Los Rios District,"3385 Freeport Boulevard, Mohr Hall Sacramento, California 95822 ",Associate,California,Accredited
Saddleback College,"28000 Marguerite Parkway Mission Viejo, California 92692-3635 United States",Associate,California,Accredited
San Bernardino Valley College,"701 South Mount Vernon Avenue San Bernardino, California 92410 United States",Associate,California,Accredited
San Diego City College,"1313 Park Boulevard San Diego, California 92101-4787 United States",Associate,California,Accredited
San Joaquin Delta College,"5151 Pacific Avenue Stockton, California 95207 ",Associate,California,Accredited
San Jose/Evergreen Community College District,"3095 Yerba Buena Road San Jose, California 95135-1513 ",Associate,California,Accredited
Santa Ana College,"1530 West 17th Street Santa Ana, California 92706-3398 ",Associate,California,Accredited
Santa Barbara City College,"721 Cliff Drive Santa Barbara, California 93109-2394 United States",Associate,California,Accredited
Santa Monica College,"1900 Pico Boulevard Santa Monica, California 90405-1628 ",Associate,California,Accredited
Sierra College,"5100 Sierra College Boulevard Rocklin, California 95677 USA",Associate,California,Accredited
Southwestern College,"8100 Gigantic Street San Diego, California 92154 United States",Associate,California,Accredited
Ventura College,"4667 Telegraph Road Ventura, California 93003 United States",Associate,California,Accredited
Weimar University,"PO Box 486 Weimar, California 95736 United States",Baccalaureate,California,Accredited
Weimar University,"PO Box 486 Weimar, California 95736 United States",Associate,California,Accredited
Xavier College,"1340 North El Dorado Street Stockton, California 95202 United States",Associate,California,Accredited
Aims Community College,"5401 West 20th Street Greeley, Colorado 80632 ",Associate,Colorado,Accredited
Arapahoe Community College,"5900 South Santa Fe Drive Littleton, Colorado 80160-9002 ",Associate,Colorado,Accredited
Arapahoe Community College,"5900 South Santa Fe Drive Littleton, Colorado 80160-9002 ",Baccalaureate,Colorado,Accredited
Colorado Mesa University,"1100 North Avenue Grand Junction, Colorado 81501-3122 ",Practical,Colorado,Accredited
Colorado Mesa University,"1100 North Avenue Grand Junction, Colorado 81501 ",Associate,Colorado,Accredited
Colorado Mountain College,"3000 County Road 114 Glenwood Springs, Colorado 81601 ",Associate,Colorado,Accredited
Colorado Mountain College,"3000 County Road 114 Glenwood Springs, Colorado 81601 ",Baccalaureate,Colorado,Accredited
Colorado Northwestern Community College,"2801 West 9th Street Craig, Colorado 81625 United States",Associate,Colorado,Accredited
Colorado State University – Pueblo,"2200 Bonforte Boulevard Pueblo, Colorado 81001 United States",Master’s/Post-Master’s Certificate,Colorado,Accredited
Colorado State University – Pueblo,"2200 Bonforte Boulevard Pueblo, Colorado 81001 ",Baccalaureate,Colorado,Accredited
Colorado State University – Pueblo,"2200 Bonforte Boulevard Pueblo, Colorado 81001 ",Clinical Doctorate,Colorado,Accredited
"Concorde Career Colleges, Inc.","111 North Havana Street Aurora, Colorado 80010 ",Practical,Colorado,Accredited
Denver College of Nursing,"1401 Nineteenth Street Denver, Colorado 80202 United States",Associate,Colorado,Accredited
Denver College of Nursing,"1401 Nineteenth Street Denver, Colorado 80202 ",Baccalaureate,Colorado,Accredited
Denver Public Schools,"1860 Lincoln Street Denver, Colorado 80203 ",Practical,Colorado,Accredited
Front Range Community College – Larimer Campus,"4616 South Shields Fort Collins, Colorado 80526 ",Associate,Colorado,Accredited
Front Range Community College – Larimer Campus,"4616 Shields Street Fort Collins, Colorado 80526 ",Practical,Colorado,Accredited
Front Range Community College – Westminster Campus,"3645 West 112 Avenue Westminster, Colorado 80031 ",Associate,Colorado,Accredited
Lamar Community College,"2401 South Main Street Lamar, Colorado 81052 ",Associate,Colorado,Accredited
Morgan Community College,"920 Barlow Road Fort Morgan, Colorado 80701 ",Associate,Colorado,Accredited
Northeastern Junior College,"100 College Avenue Sterling, Colorado 80751 United States",Associate,Colorado,Accredited
Otero College,"1802 Colorado Avenue La Junta, Colorado 81050 ",Associate,Colorado,Accredited
Pickens Technical College,"500 Airport Boulevard Aurora, Colorado 80011 United States",Practical,Colorado,Accredited
Pikes Peak State College,"1850 Cypress Drive Colorado Springs, Colorado 80921 United States",Associate,Colorado,Accredited
Platt College,"5660 Greenwood Plaza Blvd Suite 100N Greenwood Village, Colorado 80111 United States",Baccalaureate,Colorado,Accredited
Pueblo Community College,"1008 Minnequa Avenue Pueblo, Colorado 81004 United States",Associate,Colorado,Accredited
Trinidad State Junior College,"600 Prospect Street Trinidad, Colorado 81082 ",Associate,Colorado,Accredited
Capital Community College,"950 Main Street Hartford, Connecticut 06103 ",Associate,Connecticut,Accredited
Connecticut State Community College – Naugatuck Valley,"750 Chase Parkway Waterbury, Connecticut 06708-3089 ",Associate,Connecticut,Accredited
Connecticut State Community College – Northwestern,"4 Park Place East Winsted, Connecticut 06098 ",Associate,Connecticut,Accredited
Connecticut State Community College – Norwalk,"188 Richards Avenue Norwalk, Connecticut 06854-1655 ",Associate,Connecticut,Accredited
Connecticut State Community College – Three Rivers,"574 New London Turnpike Norwich, Connecticut 06360 ",Associate,Connecticut,Accredited
Gateway Community College,"20 Church Street New Haven, Connecticut 06510-3304 ",Associate,Connecticut,Accredited
Goodwin University,"One Riverside Drive East Hartford, Connecticut 06118 ",Associate,Connecticut,Accredited
Post University,"800 Country Club Road, PO Box 2560 Waterbury, Connecticut 06723-2540 United States",Clinical Doctorate,Connecticut,Accredited
St. Vincent’s College at Sacred Heart University,"75 Hunting Street Bridgeport, Connecticut 06606 ",Associate,Connecticut,Accredited
Beebe Medical Center,"424 Savannah Road Lewes, Delaware 19958 United States",Diploma,Delaware,Accredited
Delaware State University,"1200 North Dupont Highway Dover, Delaware 19901-2277 ",Baccalaureate,Delaware,Accredited
Delaware State University,"1200 North Dupont Highway Dover, Delaware 19901-2277 ",Master’s/Post-Master’s Certificate,Delaware,Accredited
Delaware Technical Community College – Jack F. Owens,"21179 College Drive Georgetown, Delaware 19947 ",Associate,Delaware,Accredited
Delaware Technical Community College – Jack F. Owens,"21179 College Drive Georgetown, Delaware 19947 United States",Practical,Delaware,Accredited
Delaware Technical Community College – Stanton,"400 Stanton-Christiana Road Newark, Delaware 19713 ",Associate,Delaware,Accredited
Delaware Technical Community College – Terry,"100 Campus Drive Dover, Delaware 19904 ",Associate,Delaware,Accredited
Delaware Technical Community College – Terry,"100 Campus Drive Dover, Delaware 19904 ",Practical,Delaware,Accredited
Delaware Technical Community College – Terry,"100 Campus Drive Dover, Delaware 19904 ",Baccalaureate,Delaware,Accredited
New Castle County Vocational-Technical School District,"500 Ships Landing Way New Castle, Delaware 19720 ",Practical,Delaware,Accredited
POLYTECH Adult Education,"823 Walnut Shade Road Woodside, Delaware 19980 ",Practical,Delaware,Accredited
Academy for Nursing and Health Occupations,"5154 Okeechobee Boulevard, Suite 201 West Palm Beach, Florida 33417 ",Associate,Florida,Accredited
Ave Maria University,"5050 Ave Maria Boulevard Ave Maria, Florida 34142 United States",Baccalaureate,Florida,Accredited
Bethesda Health Inc.,"3800 South Congress Avenue, Suite 9 Boynton Beach, Florida 33426 United States",Associate,Florida,Accredited
Bethune-Cookman University,"640 Dr. Mary Mcleod Bethune Boulevard Daytona Beach, Florida 32114-3099 ",Baccalaureate,Florida,Accredited
Broward College,"3501 SW Davie Road, HealthSciences Building 8 Davie, Florida 33314 ",Associate,Florida,Accredited
Broward County Public Schools,"4700 Coconut Creek Parkway Coconut Creek, Florida 33063 ",Practical,Florida,Accredited
Cambridge College of Healthcare and Technology – Delray Beach,"5150 Linton Boulevard, Suite 340 Delray Beach, Florida 33484 ",Associate,Florida,Accredited
Chipola College,"3094 Indian Circle Marianna, Florida 32446 United States",Associate,Florida,Accredited
Chipola College,"3094 Indian Circle Marianna, Florida 32446 United States",Baccalaureate,Florida,Accredited
City College – Altamonte Springs,"177 Montgomery Road Altamonte Springs, Florida 32714 United States",Associate,Florida,Accredited
College of Central Florida,"3001 SW College Road, PO Box 1388 Ocala, Florida 34474 ",Associate,Florida,Accredited
College of Central Florida,"3001 SW College Road, PO Box 1388 Ocala, Florida 34474 ",Baccalaureate,Florida,Accredited
College of the Florida Keys,"5901 College Road Key West, Florida 33040 ",Associate,Florida,Accredited
College of the Florida Keys,"5901 College Road Key West, Florida 33040 ",Baccalaureate,Florida,Accredited
Daytona College,"425 South Nova Road Ormond Beach, Florida 32174 United States",Associate,Florida,Accredited
Daytona State College,"1200 West International Speedway Boulevard, PO Box 2811 Daytona Beach, Florida 32114 United States",Associate,Florida,Accredited
Daytona State College,"1200 West International Speedway Boulevard, PO Box 2811 Daytona Beach, Florida 32114 United States",Baccalaureate,Florida,Accredited
Eastern Florida State College,"3865 North Wickham Road, Building 15, Room 226N Melbourne, Florida 32935 United States",Associate,Florida,Accredited
Florida Agricultural and Mechanical University,"334 West Palmer Avenue, 103 Ware-Rhaney Bldg. Tallahassee, Florida 32307 United States",Master’s/Post-Master’s Certificate,Florida,Accredited
Florida Agricultural and Mechanical University,"334 West Palmer Avenue, 103 Ware-Rhaney Building Tallahassee, Florida 32307 United States",Baccalaureate,Florida,Accredited
Florida Gateway College,"149 Southeast College Place Lake City, Florida 32025-8703 United States",Associate,Florida,Accredited
Florida National University – Training Center,"4206 West 12th Avenue Hialeah, Florida 33012 ",Associate,Florida,Accredited
Florida Southwestern State College,"8099 College Parkway, AA-167B Fort Myers, Florida 33919 ",Associate,Florida,Accredited
Florida Southwestern State College,"8099 College Parkway, AA-167B Fort Myers, Florida 33919 ",Baccalaureate,Florida,Accredited
Florida State College at Jacksonville,"4501 Capper Road Jacksonville, Florida 32218-4499 United States",Associate,Florida,Accredited
Florida State College at Jacksonville,"4501 Capper Road Jacksonville, Florida 32218-4499 United States",Baccalaureate,Florida,Accredited
Fortis College – Cutler Bay,"19600 South Dixie Highway Cutler Bay, Florida 33157 United States",Associate,Florida,Accredited
Fortis College – Orange Park,"700 Blanding Boulevard, Suite 16 Orange Park, Florida 32065 United States",Associate,Florida,Accredited
Fortis Institute – Pensacola,"4081 East Olive Road, Suite B Pensacola, Florida 32514 United States",Associate,Florida,Accredited
Fortis Institute – Port Saint Lucie,"9022 US Highway 1 Port St. Lucie, Florida 34952 United States",Associate,Florida,Accredited
FVI School of Nursing and Technology,"3520 Enterprise Way Miramar, Florida 33025 ",Associate,Florida,Accredited
Galen College of Nursing – Gainesville,"7001 Southwest 24th Avenue Gainesville, Florida 32601 United States",Associate,Florida,Accredited
Galen College of Nursing – Miami,"1200 Southwest 145th Avenue Pembroke Pines, Florida 33027 United States",Associate,Florida,Accredited
Galen College of Nursing – Tampa Bay,"10200 Dr. Martin Luther King Jr. St North St. Petersburg, Florida 33716 United States",Associate,Florida,Accredited
Gulf Coast State College,"5230 West US Highway 98 Panama City, Florida 32401-1058 ",Associate,Florida,Accredited
HCA Florida Mercy Hospital,"3663 South Miami Avenue Miami, Florida 33133 ",Practical,Florida,Accredited
HCA Florida Mercy Hospital,"3663 South Miami Avenue Miami, Florida 33132 United States",Associate,Florida,Accredited
Herzing University – Orlando,"1865 SR 436 Winter Park, Florida 32792 ",Associate,Florida,Accredited
Hillsborough Community College,"4001 West Tampa Bay Boulevard Tampa, Florida 33614 United States",Associate,Florida,Accredited
Hodges University,"4501 Colonial Boulevard Fort Meyers, Florida 33966 ",Baccalaureate,Florida,Accredited
Indian River State College,"500 NW California Boulevard Port St. Lucie, Florida 34986 United States",Baccalaureate,Florida,Accredited
Indian River State College,"500 NW California Boulevard Port St. Lucie, Florida 34986 ",Associate,Florida,Accredited
International College of Health Sciences,"1325 South Congress Avenue Boynton Beach, Florida 33426 ",Associate,Florida,Accredited
International College of Health Sciences,"1325 South Congress Avenue Boynton Beach, Florida 33426 ",Baccalaureate,Florida,Accredited
International College of Health Sciences,"1325 South Congress Avenue Boynton Beach, Florida 36695 United States",Master’s,Florida,Accredited
Jersey College – Fort Lauderdale,"7775 West Oakland Park Boulevard Sunrise, Florida 33351 ",Associate,Florida,Accredited
Jersey College – Jacksonville,"8131 Baymeadows Circle West Jacksonville, Florida 32256 ",Associate,Florida,Accredited
Jersey College – Largo,"2025 Indian Rocks Road Largo, Florida 33774 ",Associate,Florida,Accredited
Jersey College – Port Charlotte,"2450 Harbor Boulevard Port Charlotte, Florida 33952 ",Associate,Florida,Accredited
Jersey College – Tampa,"3625 Queen Palm Drive Tampa, Florida 33619 ",Associate,Florida,Accredited
Keiser University – Clearwater,"16120 US Highway 19 North Clearwater, Florida 33764 United States",Associate,Florida,Accredited
Keiser University – Daytona Beach,"1800 Business Park Boulevard Daytona Beach, Florida 32114 ",Associate,Florida,Accredited
Keiser University – Fort Lauderdale,"1500 NW 49th Street Fort Lauderdale, Florida 33309 ",Associate,Florida,Accredited
Keiser University – Jacksonville,"6430 Southpoint Parkway Jacksonville, Florida 32216 ",Associate,Florida,Accredited
Keiser University – Lakeland,"2400 Interstate Drive Lakeland, Florida 33805 ",Associate,Florida,Accredited
Keiser University – Melbourne,"900 South Babock Street Melbourne, Florida 32901 ",Associate,Florida,Accredited
Keiser University – Miami,"2101 N.W. 117th Avenue Miami, Florida 33172 ",Associate,Florida,Accredited
Keiser University – New Port Richey,"6300 US Highway 19 North New Port Richey, Florida 34652 United States",Associate,Florida,Accredited
Keiser University – Orlando,"5600 Lake Underhill Road Orlando, Florida 32807 ",Associate,Florida,Accredited
Keiser University – Port St. Lucie,"9400 Southwest Discovery Way Port St. Lucie, Florida 34987 United States",Associate,Florida,Accredited
Keiser University – Sarasota,"6151 Lake Osprey Drive Sarasota, Florida 34240 United States",Associate,Florida,Accredited
Keiser University – Tallahassee,"1700 Halstead Boulevard Tallahassee, Florida 32309 ",Associate,Florida,Accredited
Keiser University – Tampa,"5002 West Waters Avenue Tampa, Florida 33634 ",Associate,Florida,Accredited
Keiser University – West Palm Beach,"2085 Vista Parkway West Palm Beach, Florida 33411 United States",Associate,Florida,Accredited
Lake-Sumter State College,"9501 US Highway 441 Leesburg, Florida 34788 ",Associate,Florida,Accredited
Lake-Sumter State College,"9501 US Highway 441 Leesburg, Florida 34788 United States",Baccalaureate,Florida,Accredited
Lincoln Memorial University – Tampa,"3102 East 138th Street Tampa, Florida 33613 ",Associate,Florida,Accredited
Lincoln Memorial University – Tampa,"3102 East 138th Street Tampa, Florida 33613 ",Baccalaureate,Florida,Accredited
Miami Dade College,"950 Northwest 20th Street, Suite 2201-1 Miami, Florida 33127-4693 ",Associate,Florida,Accredited
Miami Dade College,"950 Northwest 20th Street, Suite 2201-1 Miami, Florida 33127-4693 United States",Baccalaureate,Florida,Accredited
Miami Regional University,"700 South Royal Poinciana Boulevard, Suite 100 Miami Springs, Florida 33166 United States",Master’s/Post-Master’s Certificate,Florida,Accredited
Miami Regional University,"700 South Royal Poinciana Boulevard, Suite 100 Miami Springs, Florida 33166 ",Baccalaureate,Florida,Accredited
Miami Regional University,"700 South Royal Poinciana Boulevard, Suite 100 Miami Springs, Florida 33166 United States",Associate,Florida,Accredited
Nexus University,"100 East Dania Beach Blvd Dania Beach, Florida 33004 ",Master’s,Florida,Accredited
Nexus University,"100 East Dania Beach Blvd Dania Beach, Florida 33004 ",Baccalaureate,Florida,Accredited
North Florida College,"325 NW Turner Davis Drive Madison, Florida 32340 United States",Associate,Florida,Accredited
North Florida College,"325 NW Turner Davis Drive Madison, Florida 32340 United States",Baccalaureate,Florida,Accredited
Northwest Florida State College,"100 College Boulevard Niceville, Florida 32578 ",Associate,Florida,Accredited
Palm Beach State College,"4200 Congress Avenue Lake Worth, Florida 33461 United States",Associate,Florida,Accredited
Palm Beach State College,"4200 Congress Avenue Lake Worth, Florida 33461 United States",Baccalaureate,Florida,Accredited
Pasco-Hernando State College,"10230 Ridge Road New Port Richey, Florida 34654 United States",Associate,Florida,Accredited
